,Row#,clonesize,honeybee,bumbles,andrena,osmia,MaxOfUpperTRange,RainingDays,fruitset,yield
374,374,12.5,0.25,0.38,0.38,0.63,94.6,1.0,0.627857666,8211.0795
596,596,25.0,0.5,0.25,0.63,0.75,69.7,1.0,0.452394363,5732.24032
527,527,25.0,0.5,0.25,0.5,0.63,94.6,24.0,0.378833119,4278.763209
740,740,25.0,0.5,0.38,0.5,0.75,69.7,1.0,0.498696418,6189.779795
680,680,25.0,0.5,0.38,0.38,0.63,69.7,34.0,0.430443779,4737.639245
522,522,25.0,0.5,0.25,0.5,0.63,86.0,1.0,0.477940817,6015.224564
495,495,25.0,0.5,0.25,0.38,0.75,94.6,24.0,0.394441163,4178.772056
360,360,12.5,0.25,0.38,0.38,0.5,86.0,34.0,0.494906594,5527.425034
397,397,12.5,0.25,0.38,0.38,0.75,69.7,16.0,0.576589776,7667.83619
583,583,25.0,0.5,0.25,0.63,0.63,69.7,24.0,0.439101795,5178.270314
112,112,12.5,0.25,0.25,0.25,0.63,77.4,34.0,0.548724554,6400.022213
467,467,25.0,0.5,0.25,0.38,0.5,69.7,16.0,0.455340281,5403.69852
682,682,25.0,0.5,0.38,0.38,0.75,86.0,1.0,0.571708025,7628.6476
20,20,37.5,0.25,0.25,0.25,0.25,77.4,1.0,0.454737417,4830.959809
65,65,12.5,0.25,0.25,0.25,0.25,69.7,24.0,0.482908968,5482.081299
298,298,12.5,0.25,0.25,0.63,0.75,94.6,34.0,0.442869304,4740.015047
126,126,12.5,0.25,0.25,0.25,0.75,69.7,1.0,0.549794912,7215.409709
259,259,12.5,0.25,0.25,0.63,0.5,86.0,16.0,0.575237945,7207.420303
576,576,25.0,0.5,0.25,0.63,0.63,94.6,34.0,0.343963231,3502.082918
402,402,12.5,0.25,0.38,0.38,0.75,69.7,34.0,0.500557995,6033.778564
339,339,12.5,0.25,0.25,0.75,0.75,86.0,16.0,0.612633396,7914.171177
651,651,25.0,0.5,0.38,0.38,0.5,94.6,16.0,0.52332906,6328.893321
137,137,12.5,0.25,0.25,0.38,0.25,94.6,24.0,0.387351145,4016.361596
511,511,25.0,0.5,0.25,0.5,0.5,94.6,24.0,0.363981224,3937.915393
7,7,37.5,0.75,0.25,0.25,0.25,94.6,34.0,0.246568004,2379.905214
342,342,12.5,0.25,0.25,0.75,0.75,94.6,1.0,0.610860604,7861.465383
711,711,25.0,0.5,0.38,0.5,0.5,69.7,24.0,0.479826829,5739.680287
309,309,12.5,0.25,0.25,0.75,0.5,94.6,16.0,0.56581933,6806.492688
646,646,25.0,0.5,0.25,0.75,0.75,77.4,34.0,0.485548321,5531.351743
538,538,25.0,0.5,0.25,0.5,0.75,86.0,1.0,0.532303678,6520.897596
185,185,12.5,0.25,0.25,0.38,0.63,94.6,24.0,0.463537294,5199.534037
529,529,25.0,0.5,0.25,0.5,0.63,77.4,16.0,0.50476135,6237.206052
353,353,12.5,0.25,0.25,0.75,0.75,69.7,24.0,0.528886613,6608.90751
631,631,25.0,0.5,0.25,0.75,0.63,69.7,24.0,0.466109593,5932.239093
153,153,12.5,0.25,0.25,0.38,0.38,94.6,24.0,0.401490054,4228.818878
54,54,12.5,0.25,0.25,0.25,0.25,94.6,1.0,0.518776342,6010.760082
30,30,25.0,0.25,0.25,0.25,0.25,86.0,34.0,0.320417393,2988.05944
710,710,25.0,0.5,0.38,0.5,0.5,77.4,34.0,0.493693466,5597.022161
691,691,25.0,0.5,0.38,0.38,0.75,69.7,16.0,0.499125312,6493.258285
100,100,12.5,0.25,0.25,0.25,0.63,86.0,1.0,0.626280739,8263.289742
452,452,12.5,0.25,0.38,0.63,0.5,86.0,1.0,0.63346314,8570.913533
640,640,25.0,0.5,0.25,0.75,0.75,94.6,34.0,0.362183686,3680.560247
733,733,25.0,0.5,0.38,0.5,0.75,86.0,24.0,0.512307598,6097.442847
237,237,12.5,0.25,0.25,0.5,0.63,69.7,16.0,0.534126224,6731.712208
674,674,25.0,0.5,0.38,0.38,0.63,77.4,1.0,0.568853507,7536.096872
56,56,12.5,0.25,0.25,0.25,0.25,86.0,34.0,0.391598449,3968.330182
400,400,12.5,0.25,0.38,0.38,0.75,77.4,34.0,0.606612254,7778.349159
60,60,12.5,0.25,0.25,0.25,0.25,77.4,1.0,0.57967664,7041.380179
688,688,25.0,0.5,0.38,0.38,0.75,94.6,34.0,0.390063566,4010.552148
262,262,12.5,0.25,0.25,0.63,0.5,94.6,1.0,0.586303901,7570.608619
731,731,25.0,0.5,0.38,0.5,0.75,94.6,16.0,0.53434503,6347.560759
264,264,12.5,0.25,0.25,0.63,0.5,86.0,34.0,0.464260194,5124.854901
721,721,25.0,0.5,0.38,0.5,0.63,77.4,16.0,0.550864261,6909.429998
468,468,25.0,0.5,0.25,0.38,0.5,69.7,1.0,0.458530485,5498.460221
208,208,12.5,0.25,0.25,0.38,0.75,77.4,34.0,0.574708327,7048.870716
391,391,12.5,0.25,0.38,0.38,0.75,86.0,24.0,0.601357636,7576.39253
485,485,25.0,0.5,0.25,0.38,0.63,77.4,24.0,0.48180056,5715.008404
622,622,25.0,0.5,0.25,0.75,0.63,86.0,34.0,0.39936701,4320.874157
167,167,12.5,0.25,0.25,0.38,0.5,86.0,24.0,0.521523421,6098.113172
38,38,25.0,0.25,0.25,0.25,0.25,77.4,34.0,0.393394771,3822.981667
748,748,25.0,0.5,0.38,0.63,0.5,94.6,1.0,0.543722877,6687.259259
669,669,25.0,0.5,0.38,0.38,0.63,86.0,24.0,0.498058212,5946.158422
635,635,25.0,0.5,0.25,0.75,0.75,94.6,16.0,0.492809568,5649.03716
300,300,12.5,0.25,0.25,0.63,0.75,77.4,1.0,0.603544257,7878.817681
516,516,25.0,0.5,0.25,0.5,0.5,69.7,1.0,0.460126356,5575.394471
505,505,25.0,0.5,0.25,0.5,0.5,86.0,16.0,0.502106031,6102.762823
744,744,25.0,0.5,0.38,0.5,0.75,69.7,34.0,0.449875425,5330.631336
163,163,12.5,0.25,0.25,0.38,0.5,86.0,16.0,0.582848693,7198.422854
124,124,12.5,0.25,0.25,0.25,0.75,77.4,1.0,0.635017998,8621.81568
154,154,12.5,0.25,0.25,0.38,0.38,94.6,34.0,0.356664626,3494.942958
336,336,12.5,0.25,0.25,0.75,0.63,77.4,34.0,0.565976484,6852.979712
59,59,12.5,0.25,0.25,0.25,0.25,77.4,16.0,0.538125922,6125.695384
503,503,25.0,0.5,0.25,0.38,0.75,69.7,24.0,0.455795758,5395.33158
304,304,12.5,0.25,0.25,0.63,0.75,77.4,34.0,0.582482579,7234.255248
725,725,25.0,0.5,0.38,0.5,0.63,77.4,24.0,0.526501878,6591.781181
608,608,25.0,0.5,0.25,0.75,0.5,94.6,34.0,0.334220017,3501.179921
343,343,12.5,0.25,0.25,0.75,0.75,86.0,24.0,0.566350244,6799.729175
449,449,12.5,0.25,0.38,0.5,0.75,69.7,24.0,0.571610169,7381.379396
496,496,25.0,0.5,0.25,0.38,0.75,94.6,34.0,0.340063353,3519.431306
311,311,12.5,0.25,0.25,0.75,0.5,86.0,24.0,0.544066693,6514.638993
427,427,12.5,0.25,0.38,0.5,0.63,77.4,16.0,0.622419314,8157.236939
484,484,25.0,0.5,0.25,0.38,0.63,69.7,1.0,0.46082121,5628.882801
158,158,12.5,0.25,0.25,0.38,0.38,69.7,1.0,0.532426131,6746.454602
51,51,12.5,0.25,0.25,0.25,0.25,86.0,16.0,0.521950271,5996.078548
557,557,25.0,0.5,0.25,0.63,0.5,86.0,24.0,0.442626748,5042.640339
693,693,25.0,0.5,0.38,0.38,0.75,77.4,24.0,0.524563481,6327.008075
523,523,25.0,0.5,0.25,0.5,0.63,94.6,16.0,0.49154744,5912.433762
361,361,12.5,0.25,0.38,0.38,0.5,94.6,24.0,0.4745752,5296.611091
465,465,25.0,0.5,0.25,0.38,0.5,77.4,16.0,0.498261098,6037.686131
638,638,25.0,0.5,0.25,0.75,0.75,86.0,34.0,0.421629852,4584.453554
219,219,12.5,0.25,0.25,0.5,0.5,77.4,16.0,0.575902218,7159.336664
520,520,25.0,0.5,0.25,0.5,0.5,69.7,34.0,0.370946044,3895.62684
308,308,12.5,0.25,0.25,0.75,0.5,86.0,1.0,0.603545036,7738.881709
74,74,12.5,0.25,0.25,0.25,0.38,94.6,34.0,0.349908358,3496.352359
282,282,12.5,0.25,0.25,0.63,0.63,94.6,34.0,0.424574228,4568.672172
568,568,25.0,0.5,0.25,0.63,0.5,69.7,34.0,0.38895631,4282.700632
348,348,12.5,0.25,0.25,0.75,0.75,77.4,1.0,0.596036127,7706.881369
605,605,25.0,0.5,0.25,0.75,0.5,86.0,24.0,0.454381334,5236.03334
4,4,37.5,0.75,0.25,0.25,0.25,86.0,24.0,0.354413049,3436.493543
624,624,25.0,0.5,0.25,0.75,0.63,94.6,34.0,0.354086468,3712.997856
437,437,12.5,0.25,0.38,0.5,0.75,94.6,16.0,0.627442488,8254.126537
623,623,25.0,0.5,0.25,0.75,0.63,94.6,24.0,0.407072571,4587.385566
497,497,25.0,0.5,0.25,0.38,0.75,77.4,16.0,0.50706065,6239.533493
683,683,25.0,0.5,0.38,0.38,0.75,94.6,16.0,0.531583632,6465.372048
5,5,37.5,0.75,0.25,0.25,0.25,86.0,34.0,0.309669459,2825.003738
141,141,12.5,0.25,0.25,0.38,0.25,69.7,16.0,0.505619046,5914.16491
759,759,20.0,0.0,0.117,0.409,0.058,86.0,3.77,0.380852104,3923.906282
456,456,12.5,0.25,0.38,0.63,0.5,86.0,34.0,0.500058984,5566.52275
135,135,12.5,0.25,0.25,0.38,0.25,86.0,24.0,0.46751899,5085.844733
521,521,25.0,0.5,0.25,0.5,0.63,86.0,16.0,0.498729997,5767.178357
378,378,12.5,0.25,0.38,0.38,0.63,94.6,34.0,0.456503309,5061.72061
694,694,25.0,0.5,0.38,0.38,0.75,77.4,34.0,0.51175153,5919.430755
22,22,37.5,0.25,0.25,0.25,0.25,69.7,1.0,0.389452628,4051.551293
701,701,25.0,0.5,0.38,0.5,0.5,86.0,24.0,0.489635345,5645.146626
466,466,25.0,0.5,0.25,0.38,0.5,77.4,1.0,0.530916639,6595.901577
276,276,12.5,0.25,0.25,0.63,0.63,86.0,1.0,0.611993912,8013.626308
284,284,12.5,0.25,0.25,0.63,0.63,77.4,1.0,0.59248944,7588.360961
540,540,25.0,0.5,0.25,0.5,0.75,94.6,1.0,0.504435443,6072.83443
270,270,12.5,0.25,0.25,0.63,0.5,69.7,1.0,0.529511192,6830.966046
426,426,12.5,0.25,0.38,0.5,0.63,94.6,34.0,0.459356717,4936.105576
741,741,25.0,0.5,0.38,0.5,0.75,77.4,24.0,0.528899809,6515.305873
281,281,12.5,0.25,0.25,0.63,0.63,94.6,24.0,0.473142233,5446.697471
420,420,12.5,0.25,0.38,0.5,0.63,86.0,1.0,0.645475445,8823.690108
220,220,12.5,0.25,0.25,0.5,0.5,77.4,1.0,0.608344644,7933.302352
702,702,25.0,0.5,0.38,0.5,0.5,86.0,34.0,0.422547698,4493.644089
320,320,12.5,0.25,0.25,0.75,0.5,77.4,34.0,0.555726691,6645.569975
439,439,12.5,0.25,0.38,0.5,0.75,86.0,24.0,0.589622441,7340.460767
372,372,12.5,0.25,0.38,0.38,0.63,86.0,1.0,0.645640994,8671.716806
120,120,12.5,0.25,0.25,0.25,0.75,86.0,34.0,0.474162324,5217.139763
81,81,12.5,0.25,0.25,0.25,0.38,69.7,24.0,0.492076861,5647.712261
760,760,20.0,0.0,0.202,0.707,0.101,86.0,3.77,0.492759727,5718.408168
13,13,37.5,0.25,0.25,0.25,0.25,94.6,16.0,0.364880783,3720.711588
491,491,25.0,0.5,0.25,0.38,0.75,94.6,16.0,0.483805569,5632.459174
455,455,12.5,0.25,0.38,0.63,0.5,86.0,24.0,0.575785764,7101.757831
751,751,25.0,0.5,0.38,0.63,0.5,94.6,24.0,0.410253857,4418.44126
743,743,25.0,0.5,0.38,0.5,0.75,69.7,24.0,0.489723491,5945.89951
160,160,12.5,0.25,0.25,0.38,0.38,77.4,34.0,0.517169415,5817.185275
756,756,25.0,0.5,0.38,0.63,0.5,69.7,1.0,0.502842336,6374.444297
238,238,12.5,0.25,0.25,0.5,0.63,69.7,1.0,0.527399614,6677.624427
379,379,12.5,0.25,0.38,0.38,0.63,77.4,16.0,0.612974151,7829.472937
519,519,25.0,0.5,0.25,0.5,0.5,69.7,24.0,0.429000524,4936.01177
545,545,25.0,0.5,0.25,0.5,0.75,77.4,16.0,0.518626455,6370.898867
440,440,12.5,0.25,0.38,0.5,0.75,86.0,34.0,0.529070993,6146.831516
766,766,20.0,0.0,0.042,0.147,0.021,86.0,3.77,0.192731658,1637.704022
578,578,25.0,0.5,0.25,0.63,0.63,77.4,1.0,0.5143032,6157.054843
195,195,12.5,0.25,0.25,0.38,0.75,86.0,16.0,0.607679197,7715.810883
191,191,12.5,0.25,0.25,0.38,0.63,77.4,24.0,0.568062152,6836.600814
116,116,12.5,0.25,0.25,0.25,0.75,86.0,1.0,0.629606256,8247.521164
603,603,25.0,0.5,0.25,0.75,0.5,94.6,16.0,0.476911433,5498.438442
699,699,25.0,0.5,0.38,0.5,0.5,94.6,16.0,0.520756415,6274.934837
164,164,12.5,0.25,0.25,0.38,0.5,86.0,1.0,0.605677437,7765.256323
106,106,12.5,0.25,0.25,0.25,0.63,94.6,34.0,0.397278517,4068.350665
16,16,37.5,0.25,0.25,0.25,0.25,86.0,34.0,0.288159094,2688.028831
63,63,12.5,0.25,0.25,0.25,0.25,77.4,24.0,0.496176505,5556.372277
470,470,25.0,0.5,0.25,0.38,0.5,77.4,34.0,0.440365017,4694.608192
384,384,12.5,0.25,0.38,0.38,0.63,77.4,34.0,0.596551315,7521.714355
717,717,25.0,0.5,0.38,0.5,0.63,86.0,24.0,0.502979625,5755.700162
105,105,12.5,0.25,0.25,0.25,0.63,94.6,24.0,0.44371199,4853.807603
549,549,25.0,0.5,0.25,0.5,0.75,77.4,24.0,0.492545864,5503.095831
329,329,12.5,0.25,0.25,0.75,0.63,94.6,24.0,0.476054066,5399.861131
480,480,25.0,0.5,0.25,0.38,0.63,94.6,34.0,0.325920891,3276.362058
498,498,25.0,0.5,0.25,0.38,0.75,77.4,1.0,0.541564813,7071.615319
753,753,25.0,0.5,0.38,0.63,0.5,77.4,16.0,0.538604193,6663.000678
405,405,12.5,0.25,0.38,0.5,0.5,94.6,16.0,0.603524723,7455.416383
577,577,25.0,0.5,0.25,0.63,0.63,77.4,16.0,0.498218761,6107.382466
93,93,12.5,0.25,0.25,0.25,0.5,69.7,16.0,0.52950023,6394.077909
433,433,12.5,0.25,0.38,0.5,0.63,69.7,24.0,0.538703555,6772.933474
83,83,12.5,0.25,0.25,0.25,0.5,86.0,16.0,0.575589557,6986.809961
656,656,25.0,0.5,0.38,0.38,0.5,94.6,34.0,0.358261487,3396.729889
601,601,25.0,0.5,0.25,0.75,0.5,86.0,16.0,0.490242145,5772.910164
414,414,12.5,0.25,0.38,0.5,0.5,69.7,1.0,0.559324725,7357.358903
566,566,25.0,0.5,0.25,0.63,0.5,77.4,34.0,0.447115975,4899.118995
564,564,25.0,0.5,0.25,0.63,0.5,69.7,1.0,0.451291733,5781.859649
708,708,25.0,0.5,0.38,0.5,0.5,69.7,1.0,0.500207249,6543.971817
322,322,12.5,0.25,0.25,0.75,0.5,69.7,34.0,0.453234697,5345.991061
357,357,12.5,0.25,0.38,0.38,0.5,94.6,16.0,0.595306377,7406.902484
69,69,12.5,0.25,0.25,0.25,0.38,94.6,16.0,0.512802719,5746.777027
514,514,25.0,0.5,0.25,0.5,0.5,77.4,1.0,0.527189908,6526.988187
509,509,25.0,0.5,0.25,0.5,0.5,86.0,24.0,0.447040787,4930.619033
340,340,12.5,0.25,0.25,0.75,0.75,86.0,1.0,0.620391949,8254.05731
221,221,12.5,0.25,0.25,0.5,0.5,69.7,16.0,0.535863236,6539.11085
722,722,25.0,0.5,0.38,0.5,0.63,77.4,1.0,0.551234401,6842.760562
146,146,12.5,0.25,0.25,0.38,0.25,69.7,34.0,0.4096968,4340.82151
289,289,12.5,0.25,0.25,0.63,0.63,69.7,24.0,0.511750776,6461.670875
29,29,25.0,0.25,0.25,0.25,0.25,86.0,24.0,0.376670148,3662.183125
114,114,12.5,0.25,0.25,0.25,0.63,69.7,34.0,0.448841436,5063.851086
508,508,25.0,0.5,0.25,0.5,0.5,94.6,1.0,0.492814967,5773.008415
626,626,25.0,0.5,0.25,0.75,0.63,77.4,1.0,0.532482559,6752.016952
752,752,25.0,0.5,0.38,0.63,0.5,94.6,34.0,0.363726236,3631.905444
176,176,12.5,0.25,0.25,0.38,0.5,77.4,34.0,0.540082008,6331.867217
168,168,12.5,0.25,0.25,0.38,0.5,86.0,34.0,0.447668818,4850.037463
347,347,12.5,0.25,0.25,0.75,0.75,77.4,16.0,0.58337988,7443.624456
376,376,12.5,0.25,0.38,0.38,0.63,86.0,34.0,0.509989204,5747.56017
588,588,25.0,0.5,0.25,0.63,0.75,94.6,1.0,0.519208599,6493.472526
678,678,25.0,0.5,0.38,0.38,0.63,77.4,34.0,0.515012624,5966.711278
663,663,25.0,0.5,0.38,0.38,0.5,69.7,24.0,0.470881648,5569.139254
665,665,25.0,0.5,0.38,0.38,0.63,86.0,16.0,0.542831206,6575.592668
189,189,12.5,0.25,0.25,0.38,0.63,69.7,16.0,0.543966758,6836.397281
136,136,12.5,0.25,0.25,0.38,0.25,86.0,34.0,0.399193166,4079.912436
446,446,12.5,0.25,0.38,0.5,0.75,69.7,1.0,0.553671368,7457.506063
653,653,25.0,0.5,0.38,0.38,0.5,86.0,24.0,0.482854142,5428.106015
254,254,12.5,0.25,0.25,0.5,0.75,69.7,1.0,0.546275069,7136.984453
685,685,25.0,0.5,0.38,0.38,0.75,86.0,24.0,0.511522719,6020.87569
290,290,12.5,0.25,0.25,0.63,0.63,69.7,34.0,0.465199368,5313.378277
730,730,25.0,0.5,0.38,0.5,0.75,86.0,1.0,0.565324698,7423.469876
658,658,25.0,0.5,0.38,0.38,0.5,77.4,1.0,0.559215109,7085.063077
232,232,12.5,0.25,0.25,0.5,0.63,86.0,34.0,0.480963646,5291.89688
33,33,25.0,0.25,0.25,0.25,0.25,77.4,16.0,0.447780771,4898.835857
88,88,12.5,0.25,0.25,0.25,0.5,86.0,34.0,0.435969213,4684.893205
44,44,25.0,0.25,0.25,0.25,0.38,86.0,24.0,0.391964935,4045.479657
341,341,12.5,0.25,0.25,0.75,0.75,94.6,16.0,0.601161249,7558.005885
61,61,12.5,0.25,0.25,0.25,0.25,69.7,16.0,0.498793068,5876.960007
742,742,25.0,0.5,0.38,0.5,0.75,77.4,34.0,0.513772901,5862.805454
199,199,12.5,0.25,0.25,0.38,0.75,86.0,24.0,0.556301788,6717.446272
429,429,12.5,0.25,0.38,0.5,0.63,69.7,16.0,0.564794821,7241.370531
580,580,25.0,0.5,0.25,0.63,0.63,69.7,1.0,0.464824509,5741.314175
394,394,12.5,0.25,0.38,0.38,0.75,94.6,34.0,0.468305902,5199.792105
297,297,12.5,0.25,0.25,0.63,0.75,94.6,24.0,0.49739138,5711.85174
73,73,12.5,0.25,0.25,0.25,0.38,94.6,24.0,0.399362246,4177.015203
393,393,12.5,0.25,0.38,0.38,0.75,94.6,24.0,0.508991582,6071.228897
547,547,25.0,0.5,0.25,0.5,0.75,69.7,16.0,0.469150447,5892.160998
541,541,25.0,0.5,0.25,0.5,0.75,86.0,24.0,0.460205797,5128.163506
664,664,25.0,0.5,0.38,0.38,0.5,69.7,34.0,0.434666745,4858.240729
648,648,25.0,0.5,0.25,0.75,0.75,69.7,34.0,0.41545835,4865.399969
654,654,25.0,0.5,0.38,0.38,0.5,86.0,34.0,0.421448998,4558.980717
217,217,12.5,0.25,0.25,0.5,0.5,94.6,24.0,0.437609121,4700.576149
539,539,25.0,0.5,0.25,0.5,0.75,94.6,16.0,0.496598201,5970.681858
643,643,25.0,0.5,0.25,0.75,0.75,69.7,16.0,0.464972316,6013.407593
421,421,12.5,0.25,0.38,0.5,0.63,94.6,16.0,0.614291616,7998.350591
138,138,12.5,0.25,0.25,0.38,0.25,94.6,34.0,0.33163021,3049.397713
212,212,12.5,0.25,0.25,0.5,0.5,86.0,1.0,0.610321439,7793.442058
655,655,25.0,0.5,0.38,0.38,0.5,94.6,24.0,0.391627198,4062.739528
652,652,25.0,0.5,0.38,0.38,0.5,94.6,1.0,0.53513718,6528.79888
673,673,25.0,0.5,0.38,0.38,0.63,77.4,16.0,0.542170237,6992.823141
712,712,25.0,0.5,0.38,0.5,0.5,69.7,34.0,0.42213693,4641.001514
234,234,12.5,0.25,0.25,0.5,0.63,94.6,34.0,0.404446048,4100.759169
67,67,12.5,0.25,0.25,0.25,0.38,86.0,16.0,0.552129108,6578.235221
24,24,37.5,0.25,0.25,0.25,0.25,77.4,34.0,0.346410766,3269.271761
381,381,12.5,0.25,0.38,0.38,0.63,69.7,16.0,0.57467888,7608.621822
216,216,12.5,0.25,0.25,0.5,0.5,86.0,34.0,0.451083154,4975.885376
129,129,12.5,0.25,0.25,0.25,0.75,69.7,24.0,0.529678291,6615.690061
349,349,12.5,0.25,0.25,0.75,0.75,69.7,16.0,0.528518697,6757.073662
111,111,12.5,0.25,0.25,0.25,0.63,77.4,24.0,0.555568429,6808.263611
166,166,12.5,0.25,0.25,0.38,0.5,94.6,1.0,0.565085745,6822.971627
207,207,12.5,0.25,0.25,0.38,0.75,77.4,24.0,0.586760249,7400.775379
438,438,12.5,0.25,0.38,0.5,0.75,94.6,1.0,0.640742728,8562.370774
552,552,25.0,0.5,0.25,0.5,0.75,69.7,34.0,0.398218446,4336.100956
274,274,12.5,0.25,0.25,0.63,0.5,69.7,34.0,0.464368945,5367.618255
695,695,25.0,0.5,0.38,0.38,0.75,69.7,24.0,0.48638367,6060.641491
591,591,25.0,0.5,0.25,0.63,0.75,94.6,24.0,0.400444088,4572.126366
619,619,25.0,0.5,0.25,0.75,0.63,94.6,16.0,0.488876344,5696.026057
525,525,25.0,0.5,0.25,0.5,0.63,86.0,24.0,0.463187081,5018.45303
287,287,12.5,0.25,0.25,0.63,0.63,77.4,24.0,0.569713565,6942.396304
469,469,25.0,0.5,0.25,0.38,0.5,77.4,24.0,0.462752296,5203.876814
326,326,12.5,0.25,0.25,0.75,0.63,94.6,1.0,0.599953146,7532.829529
121,121,12.5,0.25,0.25,0.25,0.75,94.6,24.0,0.449195313,4905.498714
507,507,25.0,0.5,0.25,0.5,0.5,94.6,16.0,0.467905283,5453.993821
228,228,12.5,0.25,0.25,0.5,0.63,86.0,1.0,0.619453149,8109.230504
595,595,25.0,0.5,0.25,0.63,0.75,69.7,16.0,0.462996546,5684.143505
445,445,12.5,0.25,0.38,0.5,0.75,69.7,16.0,0.566719686,7565.104163
117,117,12.5,0.25,0.25,0.25,0.75,94.6,16.0,0.58249065,7230.132504
464,464,25.0,0.5,0.25,0.38,0.5,94.6,34.0,0.308856187,2946.926015
25,25,25.0,0.25,0.25,0.25,0.25,86.0,16.0,0.433014308,4503.161856
110,110,12.5,0.25,0.25,0.25,0.63,69.7,1.0,0.541415007,6870.342118
149,149,12.5,0.25,0.25,0.38,0.38,94.6,16.0,0.524887803,5934.010884
152,152,12.5,0.25,0.25,0.38,0.38,86.0,34.0,0.435965493,4673.380523
528,528,25.0,0.5,0.25,0.5,0.63,94.6,34.0,0.340822336,3322.946202
621,621,25.0,0.5,0.25,0.75,0.63,86.0,24.0,0.460510431,5492.81699
461,461,25.0,0.5,0.25,0.38,0.5,86.0,24.0,0.432911682,4920.136635
598,598,25.0,0.5,0.25,0.63,0.75,77.4,34.0,0.479449351,5720.723161
139,139,12.5,0.25,0.25,0.38,0.25,77.4,16.0,0.543968929,6529.982317
260,260,12.5,0.25,0.25,0.63,0.5,86.0,1.0,0.601353783,7732.225218
323,323,12.5,0.25,0.25,0.75,0.63,86.0,16.0,0.592798225,7440.712007
739,739,25.0,0.5,0.38,0.5,0.75,69.7,16.0,0.498715892,6034.642135
248,248,12.5,0.25,0.25,0.5,0.75,86.0,34.0,0.506104448,5828.732121
450,450,12.5,0.25,0.38,0.5,0.75,69.7,34.0,0.504853246,5971.394016
410,410,12.5,0.25,0.38,0.5,0.5,94.6,34.0,0.424778393,4433.536966
607,607,25.0,0.5,0.25,0.75,0.5,94.6,24.0,0.386011221,4056.834271
19,19,37.5,0.25,0.25,0.25,0.25,77.4,16.0,0.426228043,4310.625398
328,328,12.5,0.25,0.25,0.75,0.63,86.0,34.0,0.494584864,5729.715055
296,296,12.5,0.25,0.25,0.63,0.75,86.0,34.0,0.506742719,5811.211473
269,269,12.5,0.25,0.25,0.63,0.5,69.7,16.0,0.527308548,6589.278977
226,226,12.5,0.25,0.25,0.5,0.5,69.7,34.0,0.439423956,4952.9856
94,94,12.5,0.25,0.25,0.25,0.5,69.7,1.0,0.54259037,7152.132587
515,515,25.0,0.5,0.25,0.5,0.5,69.7,16.0,0.459358436,5552.723871
637,637,25.0,0.5,0.25,0.75,0.75,86.0,24.0,0.469631675,5498.583951
280,280,12.5,0.25,0.25,0.63,0.63,86.0,34.0,0.483249032,5330.369306
286,286,12.5,0.25,0.25,0.63,0.63,69.7,1.0,0.538048419,6941.824131
589,589,25.0,0.5,0.25,0.63,0.75,86.0,24.0,0.476126065,5393.564335
768,768,20.0,0.0,0.0,0.585,0.0,86.0,3.77,0.249334678,2605.696759
444,444,12.5,0.25,0.38,0.5,0.75,77.4,1.0,0.631417034,8413.659665
184,184,12.5,0.25,0.25,0.38,0.63,86.0,34.0,0.469925759,5347.513929
371,371,12.5,0.25,0.38,0.38,0.63,86.0,16.0,0.626397463,8298.206974
679,679,25.0,0.5,0.38,0.38,0.63,69.7,24.0,0.478469338,5695.564416
755,755,25.0,0.5,0.38,0.63,0.5,69.7,16.0,0.494677622,6292.960756
275,275,12.5,0.25,0.25,0.63,0.63,86.0,16.0,0.600340952,7554.4683
726,726,25.0,0.5,0.38,0.5,0.63,77.4,34.0,0.508104246,6150.842053
182,182,12.5,0.25,0.25,0.38,0.63,94.6,1.0,0.598645112,7637.633381
32,32,25.0,0.25,0.25,0.25,0.25,94.6,34.0,0.262139643,2384.728916
80,80,12.5,0.25,0.25,0.25,0.38,77.4,34.0,0.508341786,5728.748277
307,307,12.5,0.25,0.25,0.75,0.5,86.0,16.0,0.588987285,7381.973331
11,11,37.5,0.25,0.25,0.25,0.25,86.0,16.0,0.398976956,3941.255122
43,43,25.0,0.25,0.25,0.25,0.38,94.6,1.0,0.466279462,5360.873908
86,86,12.5,0.25,0.25,0.25,0.5,94.6,1.0,0.573428227,7122.490558
36,36,25.0,0.25,0.25,0.25,0.25,69.7,1.0,0.451910565,5246.521458
58,58,12.5,0.25,0.25,0.25,0.25,94.6,34.0,0.323727288,3139.432546
41,41,25.0,0.25,0.25,0.25,0.38,86.0,1.0,0.487214901,5739.924933
411,411,12.5,0.25,0.38,0.5,0.5,77.4,16.0,0.611462998,7903.513509
562,562,25.0,0.5,0.25,0.63,0.5,77.4,1.0,0.533393093,6619.846953
209,209,12.5,0.25,0.25,0.38,0.75,69.7,24.0,0.533196209,6779.981658
148,148,12.5,0.25,0.25,0.38,0.38,86.0,1.0,0.594364445,7411.174571
594,594,25.0,0.5,0.25,0.63,0.75,77.4,1.0,0.529779854,6880.775896
123,123,12.5,0.25,0.25,0.25,0.75,77.4,16.0,0.607396172,7829.514
574,574,25.0,0.5,0.25,0.63,0.63,86.0,34.0,0.392583006,4232.762305
98,98,12.5,0.25,0.25,0.25,0.5,69.7,34.0,0.443297352,4868.211449
377,377,12.5,0.25,0.38,0.38,0.63,94.6,24.0,0.498657334,5777.3754
